65.7248	16.2943	-38.7558	85.1441	124.537	92.2154	
64.5743	28.2751	-36.1369	100.916	145.049	108.904	
59.9929	34.2273	-33.2126	122.708	156.496	123.192	
56.9557	35.5855	-30.404	134.55	157.893	122.201	
57.9782	33.6768	-27.6699	124.777	151.708	96.6932	
61.3472	28.8977	-24.8932	109.947	138.88	63.9563	
63.9503	21.4914	-21.8209	98.6616	122.65	32.8682	
64.2851	12.2597	-18.2838	90.2706	106.47	3.92952	
62.6219	2.38333	-14.3992	83.2936	92.3097	-22.4343	
59.9185	-7.06238	-10.4239	76.9571	81.3236	-45.1183	
57.1664	-15.1797	-6.73355	71.5163	74.0466	-62.9579	
55.1367	-21.588	-3.31094	67.6162	70.6065	-75.11	
54.0186	-26.5104	-0.0961435	65.5873	70.0841	-82.3837	
53.7697	-30.2821	3.07606	65.3105	71.6828	-85.6131	
54.2831	-33.1734	6.35392	66.4891	74.8562	-85.4469	
55.4084	-35.3339	9.68587	68.9136	79.0697	-82.6571	
56.9849	-36.9198	13.0745	72.2489	83.9227	-77.9015	
58.844	-38.1257	16.6012	76.112	89.1083	-71.7991	
60.8031	-39.0953	20.2322	80.2224	94.2155	-65.1104	
62.6773	-40.0228	24.0176	84.253	98.8632	-58.5752	
64.2791	-41.1373	28.0559	87.858	102.66	-52.9567	
65.4648	-42.7048	32.5708	90.7155	105.358	-48.8046	
66.2435	-44.7052	37.5058	92.8392	106.973	-46.0888	
66.6716	-47.1188	42.8831	94.2945	107.676	-44.5253	
66.8073	-49.9318	48.745	95.1658	107.635	-43.8018	
66.7116	-53.1797	55.2378	95.5588	107.025	-43.5387	
66.446	-57.0152	62.745	95.6215	105.991	-43.2273	
66.073	-62.5733	73.6249	95.7498	104.579	-41.3389	
65.5951	-65.6856	79.5624	95.184	102.356	-41.8133	
65.1685	-65.8038	79.5624	93.8317	100.716	-44.8807	
64.8658	-65.8488	79.5624	92.5437	99.7997	-47.1723	
64.7306	-65.7969	79.5624	91.425	99.7717	-48.4551	
64.7461	-63.9319	76.0922	90.1597	100.49	-50.5829	
64.7958	-57.3849	63.343	88.568	100.085	-56.6158	
64.9095	-53.1666	55.3723	87.664	99.6858	-59.5741	
65.0646	-49.5802	48.7337	87.0212	99.4082	-61.38	
65.2339	-46.3809	42.8999	86.5362	99.2218	-62.4616	
65.3906	-43.4962	37.6932	86.1648	99.0614	-63.0693	
65.5122	-40.9574	33.1448	85.8687	98.9017	-63.3416	
65.5813	-38.8486	29.3933	85.5947	98.756	-63.3526	
65.5736	-37.1541	26.3836	85.3601	98.5011	-63.2917	
65.4853	-35.9816	24.3114	85.1059	98.196	-63.1617	
65.3346	-35.2297	22.985	84.8673	97.8185	-63.0495	
65.1499	-34.8303	22.2826	84.6558	97.4173	-62.9661	
64.9583	-34.7255	22.1014	84.4824	97.0415	-62.9141	
64.7858	-34.8613	22.3456	84.3607	96.7378	-62.8938	
64.6584	-35.1865	22.9234	84.3061	96.5515	-62.9045	
64.6019	-35.6514	23.7461	84.3353	96.5278	-62.9437	
64.6422	-36.2061	24.7238	84.4665	96.7115	-63.0093	
64.8061	-36.7986	25.7629	84.7199	97.146	-63.1001	
65.1228	-37.4032	26.8211	85.0963	97.9106	-63.1817	
65.6012	-37.9123	27.7001	85.6426	98.9548	-63.3175	
66.1975	-38.3064	28.388	86.3017	100.22	-63.4719	
66.8511	-38.5472	28.8394	87.0178	101.596	-63.6361	
67.5001	-38.5983	29.0139	87.7317	102.972	-63.8018	
68.0823	-38.4266	28.8771	88.3816	104.239	-63.9604	
68.5318	-37.9806	28.3582	88.9166	105.267	-64.1279	
68.7908	-37.2848	27.5328	89.251	106.004	-64.2386	
68.7922	-36.284	26.3202	89.3445	106.306	-64.3171	
68.4732	-34.9545	24.697	89.1496	106.056	-64.353	
67.7729	-33.274	22.6381	88.6291	105.136	-64.3328	
66.6617	-31.2397	20.1309	87.783	103.462	-64.2557	
65.228	-28.9412	17.2591	86.701	101.138	-64.1697	
63.5866	-26.4692	14.0922	85.5083	98.2884	-64.164	
61.8579	-23.9803	10.8338	84.2514	95.1365	-64.2505	
60.1508	-21.5617	7.56066	83.0203	91.8231	-64.5278	
58.5726	-19.325	4.40627	81.8569	88.537	-65.0633	
57.2257	-17.3778	1.50551	80.7789	85.4782	-65.9236	
56.2077	-15.8221	-1.00857	79.782	82.8551	-67.1719	
55.6136	-14.7539	-3.00783	78.8462	80.8814	-68.8683	
55.5392	-14.2634	-4.37136	77.9463	79.7716	-71.0719	
56.0469	-14.4044	-5.02549	77.0707	79.6754	-73.7688	
57.0531	-15.1011	-5.05265	76.2488	80.493	-76.6421	
58.4395	-16.2512	-4.57237	75.5375	82.0561	-79.3024	
60.0859	-17.7594	-3.69839	75.0043	84.1928	-81.3577	
61.867	-19.5369	-2.53387	74.7163	86.7316	-82.4086	
63.6507	-21.5011	-1.16696	74.7338	89.5056	-82.0441	
65.2979	-23.575	0.332563	75.1069	92.3552	-79.84	
66.6642	-25.6858	1.91392	75.8753	95.128	-75.3609	
67.6023	-27.7624	3.54195	77.0697	97.6775	-68.1633	
67.9648	-29.7322	5.18958	78.7115	99.858	-57.8026	
67.6437	-31.528	6.82525	80.7827	101.548	-44.0191	
66.6802	-33.1215	8.39949	83.1403	102.733	-27.2759	
65.1562	-34.4873	9.83842	85.6054	103.435	-8.22711	
63.1571	-35.5931	11.0484	87.9968	103.681	12.4666	
60.7694	-36.4025	11.9229	90.1374	103.514	34.1471	
58.0793	-36.8797	12.3515	91.8604	102.987	56.1676	
